ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,PASSENGERS
11278,12448,1.0
11278,13303,1.0
11278,13487,1.0
11278,14107,1.0
11278,14685,1.0
11278,14893,1.0
11278,14908,1.0
11278,14908,1.0
11278,14908,1.0
11278,15370,1.0
11280,11630,1.0
11292,10221,1.0
11292,10980,1.0
11292,11996,1.0
11292,12391,1.0
11292,12889,1.0
11292,13930,1.0
11292,14771,1.0
11292,15389,1.0
11292,15624,1.0
11298,10194,1.0
11298,11697,1.0
11298,13158,1.0
11298,13461,1.0
11298,14100,1.0
11298,14100,1.0
11298,14492,1.0
11298,15096,1.0
11298,15096,1.0
11298,15260,1.0
11298,15304,1.0
11299,10170,1.0
11299,10170,1.0
11299,12772,1.0
11336,12294,1.0
11336,12294,1.0
11336,12720,1.0
11336,12784,1.0
11336,14119,1.0
11336,14282,1.0
11336,14282,1.0
11336,14282,1.0
11336,15853,1.0
11336,15853,1.0
11336,15862,1.0
11367,15741,1.0
11367,15741,1.0
11367,15741,1.0
11367,15741,1.0
11392,11034,1.0
11392,11392,1.0
11392,11555,1.0
11411,10640,1.0
11411,13873,1.0
11411,13873,1.0
11411,13970,1.0
11411,14805,1.0
11423,11042,1.0
11423,12953,1.0
11423,13232,1.0
11423,13796,1.0
11423,13930,1.0
11423,14057,1.0
11423,14057,1.0
11433,10140,1.0
11433,10257,1.0
11433,10423,1.0
11433,11423,1.0
11433,12217,1.0
11433,12264,1.0
11433,12264,1.0
11433,12264,1.0
11433,12264,1.0
11433,12264,1.0
11433,12264,1.0
11433,12953,1.0
11433,13930,1.0
11433,13930,1.0
11433,14100,1.0
11433,14107,1.0
11433,14683,1.0
11433,14783,1.0
11433,15919,1.0
11440,12127,1.0
11441,10557,1.0
11441,12222,1.0
11441,12222,1.0
11445,10917,1.0
11445,11445,1.0
11445,14919,1.0
11450,10958,1.0
11450,10958,1.0
11450,14107,1.0
11453,10171,1.0
11463,15236,1.0
11481,11109,1.0
11481,12889,1.0
11481,13495,1.0
11481,13577,1.0
11481,14107,1.0
11481,14869,1.0
11492,10299,1.0
11492,10551,1.0
11492,10551,1.0
11492,11227,1.0
11492,11227,1.0
11492,11952,1.0
11492,11952,1.0
11492,11952,1.0
11492,11952,1.0
11492,11952,1.0
11492,12853,1.0
11492,13579,1.0
11492,14130,1.0
11492,14282,1.0
11492,15798,1.0
11492,15798,1.0
11492,15862,1.0
11492,15862,1.0
11492,15862,1.0
11492,15862,1.0
11492,15862,1.0
11492,15862,1.0
11492,15862,1.0
11492,15862,1.0
11493,12391,1.0
11503,14457,1.0
11503,14712,1.0
11503,14831,1.0
11503,15618,1.0
11503,15618,1.0
11511,12635,1.0
11511,12638,1.0
11511,12784,1.0
11531,12207,1.0
11535,11535,1.0
11535,11941,1.0
11535,12704,1.0
11535,13873,1.0
11535,14856,1.0
11535,14856,1.0
11535,14856,1.0
11535,14856,1.0
11535,14856,1.0
11535,15478,1.0
11535,15478,1.0
11535,15478,1.0
11535,15478,1.0
11535,15478,1.0
11535,15794,1.0
11535,15794,1.0
11535,15794,1.0
11535,15794,1.0
11535,15794,1.0
11537,12250,1.0
11540,10821,1.0
11540,11603,1.0
11540,12339,1.0
11540,13796,1.0
11540,13871,1.0
11540,14057,1.0
11540,14057,1.0
11540,14576,1.0
11540,15016,1.0
11540,15016,1.0
11540,15016,1.0
11540,15618,1.0
11545,14062,1.0
11550,10304,1.0
11550,10304,1.0
11550,10304,1.0
11550,10304,1.0
11550,10304,1.0
11550,10304,1.0
11550,10416,1.0
11550,10416,1.0
11550,10416,1.0
11550,10551,1.0
11550,10551,1.0
11550,10551,1.0
11550,11550,1.0
11550,12195,1.0
11550,12195,1.0
11550,12195,1.0
11550,12769,1.0
11550,12807,1.0
11550,12807,1.0
11550,12807,1.0
11550,12807,1.0
11550,12855,1.0
11550,13434,1.0
11550,13434,1.0
11550,14234,1.0
11550,14234,1.0
11550,14627,1.0
11550,14627,1.0
11550,14718,1.0
11550,14895,1.0
11550,15085,1.0
11550,15478,1.0
11550,15554,1.0
11550,15721,1.0
11555,12184,1.0
11555,12184,1.0
11555,15086,1.0
11559,12235,1.0
11588,10559,1.0
11588,10559,1.0
11588,10559,1.0
11588,11109,1.0
11588,15458,1.0
11603,10423,1.0
11603,10423,1.0
11603,11618,1.0
11603,12191,1.0
11603,13796,1.0
11603,14057,1.0
11603,14122,1.0
11603,14262,1.0
11603,15325,1.0
11603,15325,1.0
11615,12898,1.0
11618,10154,1.0
11618,11996,1.0
11618,12191,1.0
11618,13198,1.0
11618,13230,1.0
11618,13264,1.0
11618,13502,1.0
11618,14262,1.0
11618,14332,1.0
11618,14570,1.0
11618,14713,1.0
11618,14831,1.0
11619,12523,1.0
11624,10329,1.0
11624,11827,1.0
11624,13303,1.0
11624,13931,1.0
11624,14027,1.0
11624,14223,1.0
11624,14492,1.0
11624,15030,1.0
11630,10014,1.0
11630,10139,1.0
11630,10184,1.0
